code,name,asset_class,industry,style,annual_return,annual_volatility,sharpe,max_drawdown
sh.511380,博时可转债ETF,债券,-,-,0.05551572461619436,0.09983379476307541,0.35574851883052155,-0.1589621479596026
sh.518880,华安黄金ETF,大宗商品,-,-,0.09780353171281497,0.1513707240738092,0.5139932585304774,-0.30384744623655907
sz.159792,富国中证港股通互联网ETF,海外,海外互联网,海外均衡,-0.13553679091713722,0.3636532794361068,-0.42770627878928485,-0.5966228893058162
sz.159570,汇添富国证港股通创新药ETF,海外,海外医药,海外均衡,0.15766878266428064,0.36595515477930934,0.3761903087478091,-0.42087542087542096
sz.159941,广发纳指100ETF,海外,海外宽基,海外均衡,0.19776357722967974,0.23191723598983868,0.7664957564321281,-0.3109730848861284
sh.513310,华泰柏瑞中证韩交所中韩半导体ETF(QDII),海外,海外科技,海外成长,0.7512368236587286,0.36307260020125803,2.014023705598798,-0.226789510985117
sz.159509,景顺长城纳斯达克科技ETF(QDII),海外,海外科技,海外成长,0.4200595389722763,0.31530531826341757,1.2688004794072392,-0.3046919163369135
sh.512010,易方达沪深300医药ETF,股票,医药防御,大盘,0.02777640114257296,0.27019534623757907,0.028780662771797985,-0.6550561797752809
sh.516150,嘉实中证稀土产业ETF,股票,周期,均衡,0.14996443681755767,0.33093482859555906,0.3927191265093145,-0.583912037037037
sh.512400,南方中证申万有色金属ETF,股票,周期,均衡,0.07175232356054839,0.32242542872801866,0.16050943551416957,-0.5335276967930029
sh.515450,南方标普中国A股大盘红利低波50ETF,股票,宽基,价值,0.09730783887351158,0.13392247650662656,0.577258133885288,-0.13870246085011181
sh.510880,华泰柏瑞上证红利ETF,股票,宽基,价值,0.04469090788935781,0.2378834906406388,0.10379412132747536,-0.75
sz.159263,易方达国证价值100ETF,股票,宽基,价值,0.04081869310022079,0.13166487092266804,0.15811881297060953,-0.15831987075928913
sz.159259,成长ETF易方达,股票,宽基,均衡,0.932564029286618,0.35966777399525257,2.537241574772455,-0.16807511737089198
sh.510310,易方达沪深300ETF,股票,宽基,大盘,0.07360104963236713,0.22179909464109054,0.24166487117137667,-0.4567843866171004
sz.159907,广发国证2000ETF,股票,宽基,小盘成长,0.056448507836177386,0.26960312300365047,0.13519319594708057,-0.6267828843106181
sh.588170,科创半导体ETF华夏,股票,科技成长,小盘成长,2.1781701272670797,0.4109954666445734,5.251080127201143,-0.2012513034410844
sh.588200,科创芯片ETF嘉实,股票,科技成长,小盘成长,0.5064318543692299,0.40373113372058644,1.2048410779880028,-0.4809554551323434
sz.159781,易方达中证科创创业50ETF,股票,科技成长,小盘成长,0.0787465680689452,0.30431861036582736,0.19304296900647908,-0.596579476861167
sz.159558,易方达中证半导体材料设备主题ETF,股票,科技成长,成长,1.0792908996613124,0.40643805832050467,2.6062788116805438,-0.2505091649694501
sh.515880,国泰中证全指通信设备ETF,股票,科技成长,成长,0.27982924749471283,0.3498804811156916,0.7426228712907182,-0.46974063400576366
