trigger_week,in_v74_dd_period
2015-07-03,True
2015-07-10,True
2015-07-17,True
2015-07-31,True
2015-08-07,True
2015-08-14,True
2015-08-21,True
2015-08-28,True
2015-09-04,True
2015-09-11,True
2015-09-18,True
2015-09-25,True
2015-10-02,True
2015-10-09,True
2016-01-08,True
2016-01-15,True
2016-01-22,True
2016-01-29,True
2016-02-05,True
2016-02-19,True
2016-02-26,True
2016-03-04,False
2016-03-11,False
2018-03-30,False
2018-04-06,False
2018-04-20,False
2018-04-27,False
2018-05-04,False
2018-06-29,False
2018-07-06,False
2018-07-13,False
2018-07-20,False
2018-08-03,False
2018-08-10,False
2018-08-17,False
2018-08-24,False
2018-08-31,False
2018-09-07,False
2018-09-14,False
2018-10-12,False
2018-10-19,False
2018-10-26,False
2018-11-02,False
2018-11-09,False
2018-11-30,False
2018-12-07,False
2018-12-21,False
2018-12-28,False
2019-01-04,False
2019-05-24,False
2019-06-07,False
2019-06-14,False
2022-03-18,False
2022-05-13,False
2022-10-28,False
2022-11-04,False
2022-11-11,False
2023-11-10,False
2024-07-26,False
2024-08-09,False
2024-08-16,False
2024-08-23,False
2024-08-30,False
2024-09-13,False
