年份,V72(%),V74(%),V75(%),V72_no_ma75(%),成长100(%),价值100(%),V72-V74差(pp)
2013,10.24,10.24,10.24,10.24,,,0.0
2014,85.71,85.71,85.71,85.71,32.37,64.01,0.0
2015,64.51,66.69,66.69,66.69,78.44,15.72,-2.19
2016,-2.7,-16.1,-13.99,-16.1,-16.63,6.35,13.41
2017,35.67,35.67,37.54,35.67,13.26,45.79,0.0
2018,-28.66,-24.84,-26.34,-24.84,-30.82,-16.08,-3.82
2019,43.32,51.49,57.63,51.49,55.54,29.64,-8.18
2020,78.59,78.59,72.35,78.59,77.85,5.51,-0.0
2021,61.59,61.59,46.95,61.59,44.99,17.99,0.0
2022,22.15,24.89,24.89,24.89,-21.75,1.72,-2.73
2023,10.95,12.58,10.6,12.58,-18.74,17.1,-1.63
2024,12.56,21.11,17.23,21.11,38.46,37.2,-8.55
2025,48.59,48.59,53.78,48.59,54.25,17.73,0.0
2026,77.5,77.5,77.5,77.5,67.03,-0.97,0.0
