code,code_name,ipoDate,asset_class,industry,style,years,annual_return,annual_volatility,sharpe,max_drawdown,group
sh.588170,科创半导体ETF华夏,,股票,科技成长,小盘成长,1.17,2.17817012726708,0.4109954666445734,5.251080127201143,-0.2012513034410844,A
sz.159259,成长ETF易方达,2025-08-28,股票,宽基,均衡,0.78,0.932564029286618,0.3596677739952525,2.537241574772455,-0.1680751173708919,A
sz.159263,易方达国证价值100ETF,2025-07-08,股票,宽基,价值,0.93,0.0408186931002207,0.131664870922668,0.1581188129706095,-0.1583198707592891,A
sz.159781,易方达中证科创创业50ETF,2021-07-05,股票,科技成长,小盘成长,4.78,0.0787465680689452,0.3043186103658273,0.193042969006479,-0.596579476861167,A
sh.510310,易方达沪深300ETF,2013-03-25,股票,宽基,大盘,12.77,0.0736010496323671,0.2217990946410905,0.2416648711713766,-0.4567843866171004,B
sh.510880,华泰柏瑞上证红利ETF,2007-01-18,股票,宽基,价值,18.73,0.0446909078893578,0.2378834906406388,0.1037941213274753,-0.75,B
sh.511380,博时可转债ETF,2020-04-07,债券,-,-,5.98,0.0555157246161943,0.0998337947630754,0.3557485188305215,-0.1589621479596026,B
sh.512010,易方达沪深300医药ETF,2013-10-28,股票,医药防御,大盘,12.21,0.0277764011425729,0.270195346237579,0.0287806627717979,-0.6550561797752809,B
sh.512400,南方中证申万有色金属ETF,2017-09-01,股票,周期,均衡,8.48,0.0717523235605483,0.3224254287280186,0.1605094355141695,-0.5335276967930029,B
sh.513310,华泰柏瑞中证韩交所中韩半导体ETF(QDII),2022-12-22,海外,海外科技,海外成长,3.36,0.7512368236587286,0.363072600201258,2.014023705598798,-0.226789510985117,B
sh.515450,南方标普中国A股大盘红利低波50ETF,2020-02-26,股票,宽基,价值,6.09,0.0973078388735115,0.1339224765066265,0.577258133885288,-0.1387024608501118,B
sh.515880,国泰中证全指通信设备ETF,2019-09-06,股票,科技成长,成长,6.53,0.2798292474947128,0.3498804811156916,0.7426228712907182,-0.4697406340057636,B
sh.516150,嘉实中证稀土产业ETF,2021-03-17,股票,周期,均衡,5.07,0.1499644368175576,0.330934828595559,0.3927191265093145,-0.583912037037037,B
sh.518880,华安黄金ETF,2013-07-29,大宗商品,-,-,12.45,0.0978035317128149,0.1513707240738092,0.5139932585304774,-0.303847446236559,B
sh.588200,科创芯片ETF嘉实,,股票,科技成长,小盘成长,3.52,0.5064318543692299,0.4037311337205864,1.2048410779880028,-0.4809554551323434,B
sz.159509,景顺长城纳斯达克科技ETF(QDII),2023-08-08,海外,海外科技,海外成长,2.76,0.4200595389722763,0.3153053182634175,1.2688004794072392,-0.3046919163369135,B
sz.159558,易方达中证半导体材料设备主题ETF,2024-06-18,股票,科技成长,成长,1.94,1.0792908996613124,0.4064380583205046,2.606278811680544,-0.2505091649694501,B
sz.159570,汇添富国证港股通创新药ETF,2024-01-22,海外,海外医药,海外均衡,2.32,0.1576687826642806,0.3659551547793093,0.3761903087478091,-0.4208754208754209,B
sz.159792,富国中证港股通互联网ETF,2021-09-28,海外,海外互联网,海外均衡,4.55,-0.1355367909171372,0.3636532794361068,-0.4277062787892848,-0.5966228893058162,B
sz.159907,广发国证2000ETF,2011-08-10,股票,宽基,小盘成长,14.29,0.0564485078361773,0.2696031230036504,0.1351931959470805,-0.6267828843106181,B
sz.159941,广发纳指100ETF,2015-07-13,海外,海外宽基,海外均衡,10.56,0.1977635772296797,0.2319172359898386,0.7664957564321281,-0.3109730848861284,B
