code,tradeStatus,code_name,is_etf,is_index,ipoDate,outDate,type,status
sh.518880,1,华安黄金ETF,True,False,2013-07-29,,5,1
sh.511380,1,博时可转债ETF,True,False,2020-04-07,,5,1
sh.510310,1,易方达沪深300ETF,True,False,2013-03-25,,5,1
sh.588200,1,科创芯片ETF嘉实,True,False,,,5,1
sh.515880,1,国泰中证全指通信设备ETF,True,False,2019-09-06,,5,1
sz.159941,1,广发纳指100ETF,True,False,2015-07-13,,5,1
sz.159792,1,富国中证港股通互联网ETF,True,False,2021-09-28,,5,1
sh.512400,1,南方中证申万有色金属ETF,True,False,2017-09-01,,5,1
sz.159907,1,广发国证2000ETF,True,False,2011-08-10,,5,1
sh.510880,1,华泰柏瑞上证红利ETF,True,False,2007-01-18,,5,1
sz.159570,1,汇添富国证港股通创新药ETF,True,False,2024-01-22,,5,1
sh.515450,1,南方标普中国A股大盘红利低波50ETF,True,False,2020-02-26,,5,1
sh.588170,1,科创半导体ETF华夏,True,False,,,5,1
sz.159509,1,景顺长城纳斯达克科技ETF(QDII),True,False,2023-08-08,,5,1
sz.159781,1,易方达中证科创创业50ETF,True,False,2021-07-05,,5,1
sh.512010,1,易方达沪深300医药ETF,True,False,2013-10-28,,5,1
sh.513310,1,华泰柏瑞中证韩交所中韩半导体ETF(QDII),True,False,2022-12-22,,5,1
sz.159263,1,易方达国证价值100ETF,True,False,2025-07-08,,5,1
sz.159558,1,易方达中证半导体材料设备主题ETF,True,False,2024-06-18,,5,1
sh.516150,1,嘉实中证稀土产业ETF,True,False,2021-03-17,,5,1
sz.159259,1,成长ETF易方达,True,False,2025-08-28,,5,1
